bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1665.0,375.0,1290.0,22.52252252252252,77.47747747747748,1665.0,375.0,1290.0,0.22850944810398094,54.065381391450124,53.83687194334615,0.29069767441860467
2.0,1665.0,1569.0,96.0,94.23423423423424,5.765765765765764,3330.0,1944.0,1386.0,1.1845929789710372,58.088851634534784,56.904258655563744,1.4025974025974026
3.0,1665.0,1631.0,34.0,97.95795795795796,2.0420420420420413,4995.0,3575.0,1420.0,2.1784567385912847,59.5138306789606,57.335373940369315,2.517605633802817
4.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,6660.0,5228.0,1432.0,3.185726385833633,60.016764459346184,56.83103807351255,3.6508379888268156
5.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,8325.0,6885.0,1440.0,4.19543346718909,60.35205364626991,56.15662017908082,4.78125
6.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,9990.0,8540.0,1450.0,5.2039218314879925,60.77116512992456,55.567243298436566,5.889655172413793
7.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,11655.0,10193.0,1462.0,6.21119147873034,61.274098910310144,55.0629074315798,6.971956224350206
8.0,1664.0,1649.0,15.0,99.0985576923077,0.9014423076923066,13319.0,11842.0,1477.0,7.216023691859579,61.90276613579212,54.686742443932545,8.017603249830739
9.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,14984.0,13498.0,1486.0,8.22512141468676,62.27996647108131,54.05484505639455,9.083445491251682
10.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,16649.0,15155.0,1494.0,9.234828496042216,62.615255658005026,53.380427161962814,10.143908969210173
11.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,18314.0,16809.0,1505.0,10.242707501812841,63.076278290025144,52.8335707882123,11.168770764119602
12.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,19979.0,18467.0,1512.0,11.253023941696576,63.3696563285834,52.11663238688683,12.213624338624339
13.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,21644.0,20121.0,1523.0,12.260902947467201,63.83067896060352,51.56977601313632,13.211424819435326
14.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,23309.0,21777.0,1532.0,13.270000670294381,64.20787929589271,50.93787862559833,14.214751958224543
15.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,24974.0,23430.0,1544.0,14.277270317536729,64.71081307627828,50.43354275874155,15.174870466321243
16.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,26639.0,25085.0,1554.0,15.285758681835631,65.12992455993295,49.844165878097314,16.142213642213644
17.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,28304.0,26741.0,1563.0,16.294856404662813,65.50712489522213,49.212268490559325,17.108765195137558
18.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,29969.0,28396.0,1573.0,17.303344768961715,65.92623637887678,48.622891609915065,18.052129688493324
19.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,31634.0,30050.0,1584.0,18.31122377473234,66.3872590108969,48.07603523616456,18.970959595959595
20.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,33299.0,31705.0,1594.0,19.319712139031243,66.80637049455154,47.486658355520305,19.890213299874528
21.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,34964.0,33360.0,1604.0,20.328200503330144,67.2254819782062,46.89728147487606,20.798004987531172
22.0,1664.0,1655.0,9.0,99.45913461538461,0.5408653846153868,36628.0,35015.0,1613.0,21.336688867629046,67.6026823134954,46.26599344586634,21.70799752014879
23.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,38293.0,36666.0,1627.0,22.34273979781484,68.1894383906119,45.846698592797054,22.5359557467732
24.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,39958.0,38319.0,1639.0,23.35000944505719,68.69237217099749,45.3423627259403,23.379499694935937
25.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,41623.0,39969.0,1654.0,24.355451016714703,69.32103939647946,44.96558837976476,24.165054413542926
26.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,43288.0,41621.0,1667.0,25.362111305428776,69.86588432523051,44.503773019801734,24.96760647870426
27.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,44953.0,43274.0,1679.0,26.369380952671122,70.3688181056161,43.99943715294498,25.7736748064324
28.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,46618.0,44930.0,1688.0,27.378478675498304,70.74601844090527,43.367539765406974,26.61729857819905
29.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,48283.0,46588.0,1695.0,28.388795115382038,71.03939647946353,42.650601364081496,27.485545722713866
30.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,49948.0,48248.0,1700.0,29.400330272322325,71.24895222129086,41.84862194896854,28.381176470588237
31.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,51613.0,49896.0,1717.0,30.40455312692329,71.96144174350377,41.55688861658048,29.059988351776354
32.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,53278.0,51552.0,1726.0,31.413650849750468,72.33864207879296,40.92499122904249,29.86790266512167
33.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,54943.0,53210.0,1733.0,32.4239672896342,72.63202011735122,40.20805282771702,30.70398153491056
34.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,56608.0,54863.0,1745.0,33.43123693687655,73.13495389773679,39.70371696086024,31.440114613180516
35.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,58273.0,56520.0,1753.0,34.44094401823201,73.47024308466052,39.029299066428514,32.24187107815174
36.0,1664.0,1656.0,8.0,99.51923076923077,0.4807692307692264,59937.0,58176.0,1761.0,35.45004174105919,73.80553227158424,38.35549053052505,33.03577512776831
37.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,61602.0,59829.0,1773.0,36.457311388301534,74.30846605196983,37.8511546636683,33.74450084602369
38.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,63267.0,61482.0,1785.0,37.46458103554388,74.8113998323554,37.346818796811526,34.443697478991595
39.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,64932.0,63137.0,1795.0,38.473069399842785,75.23051131601005,36.75744191616727,35.17381615598886
40.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,66597.0,64795.0,1802.0,39.48338583972652,75.52388935456831,36.04050351484179,35.957269700332965
41.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,68262.0,66449.0,1813.0,40.49126484549714,75.98491198658843,35.49364714109129,36.651406508549364
42.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,69927.0,68100.0,1827.0,41.497315775682935,76.57166806370495,35.07435228802201,37.274220032840724
43.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,71592.0,69758.0,1834.0,42.50763221556667,76.86504610226321,34.357413886696534,38.03598691384951
44.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,73257.0,71418.0,1839.0,43.51916737250696,77.07460184409052,33.55543447158356,38.8352365415987
45.0,1665.0,1663.0,2.0,99.87987987987988,0.12012012012012008,74922.0,73081.0,1841.0,44.532530605032086,77.15842414082145,32.625893535789366,39.696360673546984
46.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,76587.0,74735.0,1852.0,45.540409610802705,77.61944677284157,32.079037162038865,40.3536717062635
47.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,78252.0,76393.0,1859.0,46.55072605068644,77.91282481139983,31.362098760713387,41.09359870898332
48.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,79917.0,78050.0,1867.0,47.5604331320419,78.24811399832356,30.68768086628166,41.80503481521157
49.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,81582.0,79704.0,1878.0,48.568312137812526,78.70913663034366,30.140824492531138,42.4408945686901
50.0,1664.0,1652.0,12.0,99.27884615384616,0.7211538461538396,83246.0,81356.0,1890.0,49.57497242652659,79.21207041072925,29.63709798420266,43.045502645502644
51.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,84911.0,83008.0,1903.0,50.581632715240666,79.7569153394803,29.175282624239635,43.61954808197583
52.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,86576.0,84666.0,1910.0,51.591949155124404,80.05029337803856,28.458344222914157,44.32774869109948
53.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,88241.0,86320.0,1921.0,52.59982816089503,80.51131601005868,27.91148784916365,44.93492972410203
54.0,1665.0,1662.0,3.0,99.81981981981981,0.18018018018018722,89906.0,87982.0,1924.0,53.61258203489187,80.63704945515506,27.024467420263193,45.728690228690226
55.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,91571.0,89636.0,1935.0,54.6204610406625,81.09807208717518,26.477611046512685,46.323514211886305
56.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,93236.0,91290.0,1946.0,55.62834004643312,81.5590947191953,25.930754672762184,46.91161356628982
57.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,94901.0,92943.0,1958.0,56.63560969367547,82.06202849958089,25.42641880590542,47.46833503575077
58.0,1665.0,1647.0,18.0,98.91891891891892,1.0810810810810807,96566.0,94590.0,1976.0,57.63922318974815,82.81642917015927,25.177205980411117,47.86943319838057
59.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,98231.0,96246.0,1985.0,58.64832091257533,83.19362950544846,24.545308592873127,48.486649874055416
60.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,99896.0,97900.0,1996.0,59.656199918345955,83.65465213746856,23.998452219122605,49.04809619238477
61.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,101561.0,99550.0,2011.0,60.661641490003475,84.28331936295055,23.621677872947075,49.50273495773247
62.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,103226.0,101210.0,2016.0,61.67317664694376,84.49287510477787,22.819698457834107,50.20337301587302
63.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,104891.0,102867.0,2024.0,62.68288372829922,84.8281642917016,22.14528056340238,50.823616600790515
64.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,106556.0,104519.0,2037.0,63.68954401701329,85.37300922045264,21.683465203439354,51.310260186548845
65.0,1664.0,1649.0,15.0,99.0985576923077,0.9014423076923066,108220.0,106168.0,2052.0,64.69437623014252,86.00167644593462,21.307300215792097,51.73879142300195
66.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,109885.0,107824.0,2061.0,65.7034739529697,86.37887678122381,20.675402828254107,52.3163512857836
67.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,111550.0,109481.0,2069.0,66.71318103432516,86.71416596814753,20.000984933822366,52.91493475108748
68.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,113215.0,111138.0,2077.0,67.72288811568062,87.04945515507124,19.326567039390625,53.508907077515644
69.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,114880.0,112790.0,2090.0,68.72954840439469,87.59430008382229,18.8647516794276,53.96650717703349
70.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,116545.0,114447.0,2098.0,69.73925548575015,87.92958927074602,18.19033378499587,54.55052430886558
71.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,118210.0,116100.0,2110.0,70.7465251329925,88.4325230511316,17.685997918139094,55.023696682464454
72.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,119875.0,117751.0,2124.0,71.7525760631783,89.01927912824812,17.26670306506982,55.438323917137474
73.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,121540.0,119400.0,2140.0,72.75740827630753,89.68985750209556,16.932449225788034,55.794392523364486
74.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,123205.0,121053.0,2152.0,73.76467792354988,90.19279128248114,16.428113358931256,56.25139405204461
75.0,1665.0,1661.0,4.0,99.75975975975976,0.24024024024024015,124870.0,122714.0,2156.0,74.77682243901845,90.360435875943,15.583613436924551,56.91743970315399
76.0,1665.0,1662.0,3.0,99.81981981981981,0.18018018018018722,126535.0,124376.0,2159.0,75.78957631301529,90.4861693210394,14.69659300802411,57.608151922186195
77.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,128200.0,126035.0,2165.0,76.8005021114273,90.73763621123219,13.93713409980488,58.21478060046189
78.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,129865.0,127691.0,2174.0,77.80959983425448,91.11483654652137,13.30523671226689,58.73551057957682
79.0,1664.0,1654.0,10.0,99.39903846153847,0.600961538461533,131529.0,129345.0,2184.0,78.8174788400251,91.53394803017602,12.716469190150917,59.2239010989011
80.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,133194.0,131001.0,2193.0,79.82657656285228,91.91114836546521,12.084571802612928,59.735978112175104
81.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,134859.0,132659.0,2200.0,80.83689300273602,92.20452640402347,11.36763340128745,60.29954545454545
82.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,136524.0,134315.0,2209.0,81.8459907255632,92.58172673931266,10.73573601374946,60.803531009506564
83.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,138189.0,135966.0,2223.0,82.85204165574899,93.16848281642918,10.316441160680185,61.16329284750337
84.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,139854.0,137625.0,2229.0,83.86296745416101,93.41994970662196,9.556982252460955,61.74293405114401
85.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,141519.0,139284.0,2235.0,84.87389325257301,93.67141659681475,8.797523344241739,62.31946308724832
86.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,143184.0,140940.0,2244.0,85.88299097540019,94.04861693210394,8.16562595670375,62.80748663101604
87.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,144849.0,142595.0,2254.0,86.8914793396991,94.46772841575859,7.576249076059483,63.26308784383318
88.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,146514.0,144246.0,2268.0,87.8975302698849,95.0544844928751,7.156954222990208,63.6005291005291
89.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,148179.0,145902.0,2277.0,88.90662799271207,95.4316848281643,6.525056835452219,64.0764163372859
90.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,149844.0,147552.0,2292.0,89.91206956436959,96.06035205364627,6.148282489276681,64.37696335078535
91.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,151509.0,149211.0,2298.0,90.9229953627816,96.31181894383906,5.388823581057451,64.93080939947781
92.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,153174.0,150870.0,2304.0,91.93392116119361,96.56328583403186,4.62936467283825,65.48177083333333
93.0,1664.0,1658.0,6.0,99.63942307692308,0.3605769230769198,154838.0,152528.0,2310.0,92.94423760107735,96.81475272422465,3.8705151231472996,66.02943722943724
94.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,156503.0,154186.0,2317.0,93.95455404096109,97.1081307627829,3.153576721821821,66.54553301683211
95.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,158168.0,155837.0,2331.0,94.96060497114688,97.69488683989941,2.7342818687525323,66.85413985413986
96.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,159833.0,157492.0,2341.0,95.96909333544578,98.11399832355407,2.144904988108294,67.2755232806493
97.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,161498.0,159152.0,2346.0,96.98062849238606,98.32355406538139,1.3429255729953269,67.83972719522592
98.0,1665.0,1647.0,18.0,98.91891891891892,1.0810810810810807,163163.0,160799.0,2364.0,97.98424198845875,99.07795473595976,1.0937127475010158,68.01988155668359
99.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,164828.0,162457.0,2371.0,98.99455842834249,99.37133277451802,0.3767743461755373,68.5183466891607
100.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,166493.0,164107.0,2386.0,100.0,100.0,0.0,68.77912824811399
